gene_id,baseline_significant,frac_significant,direction_stability,rank_stability,is_stable
ENSDARG00000000001,False,0.0,0.8333333333333334,0.8037708923658166,True
ENSDARG00000000002,False,0.0,0.8333333333333334,0.8459303519362654,True
ENSDARG00000000018,False,0.0,1.0,0.989404952568683,True
ENSDARG00000000019,False,0.0,1.0,0.960006775902427,True
ENSDARG00000000068,False,0.0,0.8333333333333334,0.8340109235760338,True
ENSDARG00000000069,False,0.0,0.5,0.7191645106977127,True
ENSDARG00000000086,False,0.0,1.0,0.9864943944807195,True
ENSDARG00000000102,False,0.0,1.0,0.956264629789331,True
ENSDARG00000000103,False,0.0,0.8333333333333334,0.8397550408607449,True
ENSDARG00000000142,False,0.0,0.8333333333333334,0.8501139583589996,True
ENSDARG00000000151,False,0.0,1.0,0.9158504784197774,True
ENSDARG00000000161,False,0.0,1.0,0.938893679931009,True
ENSDARG00000000175,False,0.0,0.6666666666666666,0.7360324011334236,True
ENSDARG00000000183,False,0.0,1.0,0.9609204960781899,True
ENSDARG00000000189,False,0.0,0.8333333333333334,0.8567307297441584,True
ENSDARG00000000212,False,0.0,1.0,0.9335448236212065,True
ENSDARG00000000229,False,0.0,1.0,0.9500687856761529,True
ENSDARG00000000241,False,0.0,1.0,0.9305367336043694,True
ENSDARG00000000324,False,0.0,1.0,0.9287554925875734,True
ENSDARG00000000349,False,0.0,1.0,0.9607895979631227,True
ENSDARG00000000369,False,0.0,0.8333333333333334,0.8695279454642519,True
ENSDARG00000000370,False,0.0,0.6666666666666666,0.733352839719108,True
ENSDARG00000000380,False,0.0,0.6666666666666666,0.7255400188903947,True
ENSDARG00000000384,False,0.0,0.5,0.7793160445156256,True
ENSDARG00000000394,False,0.0,1.0,0.9120262001560511,True
ENSDARG00000000423,False,0.0,0.8333333333333334,0.9251057451439366,True
ENSDARG00000000442,False,0.0,1.0,0.9235760338384461,True
ENSDARG00000000460,False,0.0,0.8333333333333334,0.9498044228163114,True
ENSDARG00000000472,False,0.0,1.0,0.9176573857336454,True
ENSDARG00000000474,False,0.0,0.8333333333333334,0.9562184304546015,True
ENSDARG00000000476,False,0.0,1.0,0.9637027226807934,True
ENSDARG00000000489,False,0.0,1.0,0.9717362736643259,True
ENSDARG00000000503,False,0.0,0.5,0.7274598579113793,True
ENSDARG00000000516,False,0.0,0.8333333333333334,0.8721305079873516,True
ENSDARG00000000529,False,0.0,1.0,0.953605601412673,True
ENSDARG00000000540,False,0.0,1.0,0.9789998357356987,True
ENSDARG00000000542,False,0.0,1.0,0.9568395548437436,True
ENSDARG00000000551,False,0.0,0.8333333333333334,0.8292575253583016,True
ENSDARG00000000563,False,0.0,0.6666666666666666,0.7396308159829166,True
ENSDARG00000000567,False,0.0,1.0,0.9092183072563755,True
ENSDARG00000000568,False,0.0,1.0,0.9598117120446799,True
ENSDARG00000000588,False,0.0,0.6666666666666666,0.8310131000780255,True
ENSDARG00000000606,False,0.0,1.0,0.9270512504619933,True
ENSDARG00000000631,False,0.0,0.6666666666666666,0.7253654880703051,True
ENSDARG00000000638,False,0.0,,0.9737202784279906,True
ENSDARG00000000651,False,0.0,0.6666666666666666,0.8293858568436614,True
ENSDARG00000000656,False,0.0,0.5,0.8519875980452548,True
ENSDARG00000000666,False,0.0,1.0,0.9336320890312513,True
ENSDARG00000000690,False,0.0,0.6666666666666666,0.8288673976428073,True
ENSDARG00000000729,False,0.0,0.5,0.7208944191203647,True
ENSDARG00000000730,False,0.0,1.0,0.9344585437969694,True
ENSDARG00000000747,False,0.0,0.5,0.770481705063447,True
ENSDARG00000000760,False,0.0,1.0,0.9485288078518336,True
ENSDARG00000000767,False,0.0,1.0,0.9694571064843333,True
ENSDARG00000000779,False,0.0,0.8333333333333334,0.8284926697055562,True
ENSDARG00000000796,False,0.0,0.6666666666666666,0.8158391852490657,True
ENSDARG00000000804,False,0.0,0.5,0.7502720627489631,True
ENSDARG00000000830,False,0.0,0.8333333333333334,0.8279588107264588,True
ENSDARG00000000837,False,0.0,1.0,0.9451100570818447,True
ENSDARG00000000853,False,0.0,1.0,0.96309186481048,True
ENSDARG00000000857,False,0.0,0.6666666666666666,0.778315058929818,True
ENSDARG00000000861,False,0.0,1.0,0.9340068169685023,True
ENSDARG00000000887,False,0.0,1.0,0.9655609625888054,True
ENSDARG00000000906,False,0.0,1.0,0.9712024146852285,True
ENSDARG00000000935,False,0.0,1.0,0.9697343024927108,True
ENSDARG00000000943,False,0.0,1.0,0.9382314894665517,True
ENSDARG00000000966,False,0.0,1.0,0.9339554843743584,True
ENSDARG00000000972,False,0.0,0.8333333333333334,0.9080325243316496,True
ENSDARG00000001009,False,0.0,1.0,0.9345612089852573,True
ENSDARG00000001014,False,0.0,1.0,0.9935577594349309,True
ENSDARG00000001015,False,0.0,1.0,0.9778551188862881,True
ENSDARG00000001057,False,0.0,0.8333333333333334,0.8529064514804321,True
ENSDARG00000001127,False,0.0,0.3333333333333333,0.5799299823415875,True
ENSDARG00000001129,False,0.0,1.0,0.9748110960535502,True
ENSDARG00000001154,False,0.0,0.8333333333333334,0.8442158432918566,True
ENSDARG00000001162,False,0.0,1.0,0.9917303190834053,True
ENSDARG00000001169,False,0.0,1.0,0.8947014496324586,True
ENSDARG00000001210,False,0.0,0.8333333333333334,0.8921194201470165,True
ENSDARG00000001220,False,0.0,1.0,0.9796671594595705,True
ENSDARG00000001234,False,0.0,1.0,0.9704272925136544,True
ENSDARG00000001241,False,0.0,0.8333333333333334,0.8638762268490001,True
ENSDARG00000001244,False,0.0,0.8333333333333334,0.8821557636236705,True
ENSDARG00000001249,False,0.0,0.6666666666666666,0.7814514804320151,True
ENSDARG00000001259,False,0.0,0.8333333333333334,0.8454426922918976,True
